,DOI,isotherm_file,temp_C,adsorbent,CO2_capacity (mmol/g)
195,10.1002/anie.201102329,10.1002anie.201102329.Isotherm17.json,50,C16H10CuN4O4,0.1966761516187271
196,10.1002/anie.201104130,10.1002anie.201104130.isotherm4.json,30,Ni-DBM-BPY,0.009137066811616136
197,10.1002/anie.201105966,10.1002anie.201105966.Isotherm15.json,25,Cu-TDPAT,0.15156248337500666
201,10.1002/anie.201105966,10.1002anie.201105966.Isotherm5.json,25,Cu-TPBTM,0.24255674294054422
202,10.1002/anie.201105966,10.1002anie.201105966.Isotherm6.json,25,PCN-61,0.143523700656702
203,10.1002/anie.201105966,10.1002anie.201105966.Isotherm7.json,25,NU-100,0.12340361206729837
204,10.1002/anie.201105966,10.1002anie.201105966.Isotherm8.json,25,PCN-66,0.054463346195755415
205,10.1002/anie.201105966,10.1002anie.201105966.Isotherm9.json,25,PCN-68,0.0322341620330666
215,10.1002/anie.201302715,10.1002anie.201302715.isotherm5.json,0,NJU-Bai9,0.005051290621284429
216,10.1002/anie.201302715,10.1002anie.201302715.isotherm6.json,25,NJU-Bai9,0.002289579247277981
223,10.1002/anie.201501718,10.1002anie.201501718.Isotherm2.json,0,PKU-17,0.05258285898839501
231,10.1002/anie.201607745,10.1002anie.201607745.Isotherm10.json,10,CALF-33-Et2H,0.10617616251761389
232,10.1002/anie.201607745,10.1002anie.201607745.Isotherm11.json,15,CALF-33-Et2H,0.09600377462207971
233,10.1002/anie.201607745,10.1002anie.201607745.Isotherm12.json,20,CALF-33-Et2H,0.0683578179119248
234,10.1002/anie.201607745,10.1002anie.201607745.Isotherm3.json,5,CALF-33-Et3,0.04356439428834638
235,10.1002/anie.201607745,10.1002anie.201607745.Isotherm4.json,10,CALF-33-Et3,0.03816489028213166
236,10.1002/anie.201607745,10.1002anie.201607745.Isotherm5.json,15,CALF-33-Et3,0.03412785396260018
237,10.1002/anie.201607745,10.1002anie.201607745.Isotherm6.json,20,CALF-33-Et3,0.028965824175824176
238,10.1002/anie.201607745,10.1002anie.201607745.Isotherm9.json,5,CALF-33-Et2H,0.12431691404164442
262,10.1002/cctc.201600840,10.1002cctc.201600840.Isotherm2.json,0,PDVBTT-1,0.22610677083333333
263,10.1002/cctc.201600840,10.1002cctc.201600840.Isotherm3.json,25,PDVBTT-1,0.0724205791397245
264,10.1002/ceat.201300046,10.1002ceat.201300046.isotherm1.json,35,CuBTC,0.1786375539270172
265,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm13.json,35,Cu-BTC powder,0.17609274461948082
266,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm14.json,35,Cu-BTC tablet,0.16435398802782722
267,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm15.json,70,Cu-BTC powder,0.06637366028982045
268,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm16.json,70,Cu-BTC tablet,0.05892448170433043
269,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm17.json,100,Cu-BTC powder,0.0
270,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm18.json,100,Cu-BTC tablet,0.0
271,10.1002/ceat.201300046,10.1002ceat.201300046.isotherm2.json,35,CuBTC,0.12452847273575783
272,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm26.json,35,Cu-BTC tablet,0.0877750725998064
273,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm27.json,35,Zeolite 13X,0.641471545360743
274,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm28.json,41,Zn-DABCO,0.046365124527419414
275,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm29.json,30,MIL-53(Al),0.0507464
276,10.1002/ceat.201300046,10.1002ceat.201300046.isotherm3.json,70,CuBTC,0.0651461230172442
277,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm30.json,35,AlPO4-11,0.03271381271381271
278,10.1002/ceat.201300046,10.1002ceat.201300046.isotherm4.json,70,CuBTC,0.05302629886425832
279,10.1002/ceat.201300046,10.1002ceat.201300046.isotherm5.json,100,CuBTC,0.04284659294286091
280,10.1002/ceat.201300046,10.1002ceat.201300046.isotherm6.json,100,CuBTC,0.009609289593967616
281,10.1002/ceat.201400741,10.1002ceat.201400741.Isotherm2.json,25,NH2-MIL-53(Al),0.4099938859289021
286,10.1002/chem.200801048,10.1002chem.200801048.isotherm1.json,0,Beta-[{Zn(F-pymo)2}n],0.02062488177471642
287,10.1002/chem.200801048,10.1002chem.200801048.isotherm2.json,0,Beta-[{Co(F-pymo)2}n],0.11187111052455256
288,10.1002/chem.200801048,10.1002chem.200801048.isotherm3.json,0,[{Cu(H-pymo)2}n],0.6048505922905136
300,10.1002/chem.200902144,10.1002chem.200902144.Isotherm10.json,30,ZIF-76,0.11956428884516025
301,10.1002/chem.200902144,10.1002chem.200902144.Isotherm11.json,30,ZIF-76,0.10497721624708808
302,10.1002/chem.200902144,10.1002chem.200902144.Isotherm18.json,30,ZIF-69,0.11961588042970574
303,10.1002/chem.200902144,10.1002chem.200902144.Isotherm18-1.json,0,ZIF-69,0.23857222257110078
304,10.1002/chem.200902144,10.1002chem.200902144.Isotherm19.json,30,ZIF-76,0.06287158438113333
305,10.1002/chem.200902144,10.1002chem.200902144.Isotherm19-1.json,25,ZIF-76,0.06580366575476441
306,10.1002/chem.200902144,10.1002chem.200902144.Isotherm20.json,30,ZIF-8,0.014230431796841058
307,10.1002/chem.200902144,10.1002chem.200902144.Isotherm20-1.json,25,ZIF-8,0.023349695289325206
308,10.1002/chem.200902144,10.1002chem.200902144.Isotherm21.json,30,ZIF-69,0.0376069223888264
309,10.1002/chem.200902144,10.1002chem.200902144.Isotherm21-1.json,25,ZIF-69,0.07553005357589193
310,10.1002/chem.200902144,10.1002chem.200902144.Isotherm5.json,30,ZIF-8,0.02132625944255078
311,10.1002/chem.200902144,10.1002chem.200902144.Isotherm7.json,30,ZIF-8,0.031628343778620546
312,10.1002/chem.200902346,10.1002chem.200902346.isotherm1.json,0,[Cu(Hoxonic)(bpy)0.5]n*1.5n,0.6025322559081953
348,10.1002/chem.201100958,10.1002chem.201100958.Isotherm1.json,-78,ZIF-7,2.726286397736202
349,10.1002/chem.201100958,10.1002chem.201100958.Isotherm24.json,25,ZIF-7,0.0227048108079049
350,10.1002/chem.201100958,10.1002chem.201100958.Isotherm25.json,25,ZIF-7,0.47355815667086115
373,10.1002/chem.201202352,10.1002chem.201202352.Isotherm14.json,-77,DUT-25,0.5130857218865986
374,10.1002/chem.201202352,10.1002chem.201202352.Isotherm15.json,25,DUT-25,0.02041443775389943
375,10.1002/chem.201202352,10.1002chem.201202352.Isotherm16.json,25,DUT-25,0.026933768524720066
382,10.1002/chem.201203753,10.1002chem.201203753.isotherm9.json,25,ILCOF-1,0.29984182606819487
385,10.1002/chem.201301212,10.1002chem.201301212.isotherm14.json,0,BIF-24,0.23475806315769399
426,10.1002/chem.201503078,10.1002chem.201503078.Isotherm12.json,0,UiO-66-(COOLi)4-EX,0.5783060725075528
427,10.1002/chem.201503078,10.1002chem.201503078.Isotherm13.json,0,UiO-66,0.35570165094339623
428,10.1002/chem.201503078,10.1002chem.201503078.Isotherm14.json,0,UiO-66-(COONa)2-EX,0.6544871985383679
429,10.1002/chem.201503078,10.1002chem.201503078.Isotherm15.json,0,UiO-66-(COOLi)2-EX,0.37888055972013995
430,10.1002/chem.201503078,10.1002chem.201503078.Isotherm16.json,0,UiO-66-(COOH)4-EX,0.20443971186971502
431,10.1002/chem.201503078,10.1002chem.201503078.Isotherm17.json,0,UiO-66-(COOK)2-EX,0.3601474553571429
432,10.1002/chem.201503078,10.1002chem.201503078.Isotherm18.json,0,UiO-66-(COONa)4-EX,0.2692642275172944
433,10.1002/chem.201503078,10.1002chem.201503078.Isotherm19.json,0,UiO-66-(COOK)4-EX,0.1990634482758621
434,10.1002/chem.201503078,10.1002chem.201503078.Isotherm20.json,25,UiO-66-(COOLi)4-EX,0.30608027450980396
435,10.1002/chem.201503078,10.1002chem.201503078.Isotherm21.json,25,UiO-66,0.18050105945406955
436,10.1002/chem.201503078,10.1002chem.201503078.Isotherm22.json,25,UiO-66-(COONa)2-EX,0.3238156801661475
437,10.1002/chem.201503078,10.1002chem.201503078.Isotherm23.json,25,UiO-66-(COOLi)2-EX,0.22143209039548023
438,10.1002/chem.201503078,10.1002chem.201503078.Isotherm24.json,25,UiO-66-(COOH)4-EX,0.10426751887360476
439,10.1002/chem.201503078,10.1002chem.201503078.Isotherm25.json,25,UiO-66-(COOK)2-EX,0.21369607734806634
440,10.1002/chem.201503078,10.1002chem.201503078.Isotherm26.json,25,UiO-66-(COONa)4-EX,0.10953478537360892
441,10.1002/chem.201503078,10.1002chem.201503078.Isotherm27.json,25,UiO-66-(COOK)4-EX,0.0839095000000003
448,10.1002/Cjce.20700,10.1002Cjce.20700.Isotherm1.json,25,IRMOF-1,0.03353916917446165
